"","VTDST20GEOID","B15003_001","B15003_002","B15003_003","B15003_004","B15003_005","B15003_006","B15003_007","B15003_008","B15003_009","B15003_010","B15003_011","B15003_012","B15003_013","B15003_014","B15003_015","B15003_016","B15003_017","B15003_018","B15003_019","B15003_020","B15003_021","B15003_022","B15003_023","B15003_024","B15003_025"
"8650","42121000290",1177.41101223582,107.989803485354,0.973419540229885,0,0,0,0,0,0,0,0,11.8548618835743,10.5031979977753,19.243117352614,13.0187940304042,12.0439840563589,469.805756395996,67.2299314052651,48.1787170930664,104.71076659251,88.793960882462,155.04352057842,54.2222608453838,2.5253290693363,11.2735910270671
"8651","42121000300",912.142262317835,2.60860513532269,0,0,0,0,0,6.95628036086051,3.47814018043026,0,2.60860513532269,0,7.82581540596808,11.3039555863983,19.1297709923664,22.6079111727967,358.248438584316,118.256766134629,26.0860513532269,104.344205412908,58.2588480222068,132.16932685635,35.6509368494101,2.60860513532269,0
"8652","42121000320",401.024054982818,2.28178694158076,0,0,0,0,0,0,0,0,0,5.70446735395189,3.99312714776632,10.2680412371134,0.570446735395189,1.71134020618557,183.113402061856,18.8247422680412,25.0996563573883,40.5017182130584,41.6426116838488,40.5017182130584,25.0996563573883,0,1.71134020618557
"8653","42121000375",769.85535755996,13.0706097491285,0,0,0,0,7.35722041259501,0,0,0,2.10206297502714,7.88273615635179,8.72949863035566,2.10206297502714,21.3317246699811,1.05103148751357,344.725724382586,40.6748814217955,50.9496578801927,46.955031042392,77.795260129388,95.7922107100394,49.3356449375867,0,0
"8654","42121000425",703.310350615838,0,0,0,0,0,0,0,0,0,1.22448979591837,7.47311827956989,3.16812609457093,8.30346475507766,7.47311827956989,1.08843537414966,158.889460746353,10.9932583846487,47.5763337266561,70.2098103702371,27.7918200555178,275.948633432747,43.0424605448454,32.3835125448029,7.74430823117338
"8655","42121000445",989.640809632038,11.0414828908299,0,0,0,0,0,0,0,0,6.85254691689008,55.1451775007336,7.61394101876676,5.97733711048159,38.0586082712948,0,245.085674921073,137.792529687306,47.0830368298087,64.9286092684188,18.5135922050218,242.557600571717,71.3805192672372,36.8487590705824,0.761394101876676
"8656","42121000465",728.453114879832,0.821983273596177,0,0,0,0,0,0,0,0,0,3.94536673198832,7.77551020408163,4.02266288951841,4.28945275349369,0,187.756874642594,13.0244879862248,49.8260589522192,92.5533972541975,23.169872967108,247.600237304706,58.7999789191419,15.8604282798745,19.0068027210884
"8657","42121000530",528.624879459981,2.90453230472517,0,0,0,0,0,0,0,0,2.90453230472517,3.63066538090646,4.35679845708775,15.9749276759884,5.08293153326905,15.2487945998071,240.350048216008,30.4975891996143,42.1157184185149,33.4021215043394,55.1861137897782,55.1861137897782,21.7839922854388,0,0
"8658","42121000570",545.482862903226,58.4788306451613,0,0,0,0,0,0,0,0,0,4.79334677419355,2.23689516129032,7.03024193548387,5.75201612903226,6.07157258064516,216.020161290323,30.0383064516129,23.6471774193548,51.4485887096774,40.5836693548387,72.2197580645161,21.7298387096774,1.27822580645161,4.15423387096774
"8659","42121000580",303.407407407407,0,0,0,0,0,0,0,0,0,0,0,1.18518518518519,5.33333333333333,10.6666666666667,3.55555555555556,119.703703703704,10.6666666666667,21.9259259259259,21.9259259259259,26.0740740740741,52.7407407407407,27.2592592592593,2.37037037037037,0
